Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned,
2022-06-13,Haley Burns,Michael Smith,Ford,Corolla,2011,13261,0.12444240491185972,1650.23,
2023-03-02,Haley Burns,Michael Orozco,Honda,Altima,2019,34856,0.10998696996611654,3833.71,
2022-11-14,Haley Burns,Jason Pugh,Chevrolet,Corolla,2018,19666,0.1379334248641807,2712.6,
2022-07-26,Haley Burns,Clifford Evans,Nissan,Altima,2013,16797,0.14423733102284325,2422.75,
2023-03-03,Haley Burns,Eric Thornton,Chevrolet,Civic,2015,45862,0.074396419,3411.97,
2023-04-17,Haley Burns,Chelsea Webb,Chevrolet,Corolla,2014,19940,0.1489894477474949,2970.85,
2023-04-27,Haley Burns,Brandon Wolf,Ford,Civic,2016,33607,0.1311436355612028,4407.34,
2022-12-02,Haley Burns,Raymond Rocha,Chevrolet,Silverado,2010,47997,0.091992362,4415.36,
2022-12-02,Jessica Castaneda,Rebecca Rasmussen,Nissan,Civic,2018,21151,0.071833004,1519.34,
2022-05-26,Jessica Castaneda,Angela Santos,Nissan,Silverado,2012,12403,0.083677882,1037.86,
2022-05-20,Jessica Castaneda,Carol Turner,Ford,Civic,2014,27999,0.09029834,2528.26,
2022-09-03,Jessica Castaneda,Mark Dudley,Nissan,Silverado,2020,13705,0.062327463533604244,854.2,
2022-08-06,Jessica Castaneda,Jonathan Chaney,Honda,F-150,2021,28765,0.064203076,1846.8,
2023-01-22,Jessica Castaneda,Jennifer Hernandez,Honda,Altima,2022,44752,0.080793011,3615.65,
2023-03-24,Jessica Castaneda,Michael Dawson,Chevrolet,F-150,2012,17326,0.12096407705375743,2095.82,
2023-02-03,Jessica Castaneda,Nancy Cooley,Nissan,Silverado,2012,35616,0.14898101627734872,5306.11,
2023-03-08,Jessica Castaneda,Alejandro Holt,Nissan,Civic,2014,14698,0.059679003,877.16,
2022-09-25,Jessica Castaneda,Holly Hardy,Ford,F-150,2012,19446,0.1286816492172756,2502.34,
2023-04-29,Jessica Castaneda,Daniel Case DVM,Ford,Altima,2010,17862,0.10737425262624055,1917.92,
2022-12-27,Jessica Castaneda,Kyle Stanley,Chevrolet,Corolla,2017,30993,0.1478620092351775,4582.69,
2023-03-13,Jessica Castaneda,Carrie Hudson,Toyota,F-150,2016,45367,0.081734072,3708.03,
2023-02-16,Jessica Castaneda,Amy Ray,Ford,Silverado,2012,15083,0.10274792451807355,1549.75,
2022-10-03,Jessica Castaneda,Christopher Smith,Ford,Civic,2011,37862,0.087528529,3314.01,
2022-12-22,Jessica Castaneda,Joshua Ali,Ford,Corolla,2014,38345,0.1249130990903279,4789.79,
2022-06-21,Jessica Castaneda,Casey Meyer,Nissan,Silverado,2014,33888,0.094233762,3193.39,
2023-03-10,Jessica Castaneda,Madison Rivera,Honda,F-150,2022,20819,0.099364416,2068.67,
2023-02-21,Jessica Castaneda,Ariana Boyd,Ford,Silverado,2018,27140,0.1316058125846576,3571.78,
2023-03-19,Jessica Castaneda,Joseph Kerr,Ford,Silverado,2014,40621,0.0612262,2487.07,
2023-02-10,Jessica Castaneda,Barry Decker,Nissan,Silverado,2019,13085,0.061858079,809.41,
2022-11-03,Jessica Castaneda,Pamela Johnson,Honda,F-150,2022,26200,0.089780881,2352.26,
2022-09-22,Jessica Castaneda,Cynthia Jones,Nissan,Corolla,2013,14458,0.11530991820341886,1667.15,
2022-09-02,Jessica Castaneda,Kevin Harvey,Nissan,Altima,2016,28591,0.11441008611617383,3271.1,
2022-05-12,Jessica Castaneda,Caroline Cooley,Toyota,Altima,2019,20231,0.052301444,1058.11,
2023-04-16,Jessica Castaneda,Phillip Conley,Ford,F-150,2020,27795,0.0739954,2056.7,
2022-07-19,Jessica Castaneda,James Velazquez,Honda,Corolla,2010,24327,0.095457332,2322.19,
2022-07-17,Jessica Castaneda,Jordan Bell,Toyota,Silverado,2014,36828,0.13139855516264806,4839.15,
2023-01-24,Jessica Castaneda,Gary Rowland,Honda,Silverado,2020,48705,0.14558480608727853,7090.71,
2022-06-08,Jessica Castaneda,Matthew Guzman,Chevrolet,Corolla,2013,29710,0.086331454,2564.91,
2023-02-03,Jessica Castaneda,Leslie Garcia,Toyota,Corolla,2010,15839,0.13055747053196864,2067.9,
2023-01-25,Jessica Castaneda,James Summers,Ford,F-150,2015,17171,0.14254673108142293,2447.67,
2023-01-04,Jessica Castaneda,Rachel Bowen,Nissan,F-150,2021,45151,0.077072302,3479.89,
2023-03-17,Jessica Castaneda,Herbert Harris PhD,Ford,F-150,2011,46299,0.08650304,4005,
2022-09-01,Jessica Castaneda,Daniel Patterson Jr.,Honda,Corolla,2020,48729,0.053908033226869816,2626.88,
2023-01-05,Jessica Castaneda,Natalie Larson,Honda,Civic,2021,18067,0.1339747299063988,2420.52,
2023-01-24,Jessica Castaneda,Timothy Mccoy,Nissan,Silverado,2018,38307,0.07953119,3046.6,
2023-04-13,Jessica Castaneda,Kevin Marshall,Honda,F-150,2016,20032,0.059540339220977706,1192.71,
2022-11-04,Jessica Castaneda,Pamela Anderson,Ford,F-150,2015,43704,0.12254193456582824,5355.57,
2023-01-06,Jessica Castaneda,Drew Cantu,Nissan,Silverado,2012,43213,0.098891537,4273.4,
2022-10-19,Jessica Castaneda,Karen Rogers,Chevrolet,F-150,2010,25731,0.08813935,2267.91,
2022-09-27,Jessica Castaneda,Jennifer Anderson,Nissan,Silverado,2014,35150,0.095719699,3364.55,
2022-05-11,Jessica Castaneda,Katherine Henderson,Honda,Altima,2010,37699,0.10663835593496263,4020.16,
2022-12-22,Jessica Castaneda,Sarah Mason,Chevrolet,Corolla,2016,49985,0.13290165035094367,6643.09,
2022-08-06,Jessica Castaneda,Stephanie Carter,Toyota,Altima,2022,30713,0.11322541606714344,3477.49,
2022-10-18,Jessica Castaneda,Ryan Hernandez,Ford,Civic,2010,17532,0.1262317826482643,2213.1,
2023-01-10,Jessica Castaneda,Colin Wilson,Chevrolet,Corolla,2021,16613,0.091766969,1524.52,
2022-11-16,Jessica Castaneda,Lori Byrd,Ford,Altima,2022,33493,0.14689811538600167,4920.06,
2022-09-17,Jessica Castaneda,Casey Marshall,Honda,Corolla,2020,10301,0.1323137221446597,1362.96,
2022-12-11,Jessica Castaneda,Jennifer Williams,Ford,Altima,2019,41513,0.05081388,2109.44,
2022-10-23,Jessica Castaneda,Nancy Davis,Nissan,Altima,2014,42995,0.080287046,3451.94,
2023-02-17,Jessica Castaneda,John Miles,Nissan,Silverado,2018,39961,0.08942382,3573.47,
2023-01-03,Jessica Castaneda,Claudia Ali,Toyota,Altima,2022,43019,0.14654085206625067,6304.04,
2023-04-05,Jessica Castaneda,Adrian Parker,Ford,Silverado,2014,44008,0.085446035,3760.31,
2022-09-12,Jessica Castaneda,Kevin Nguyen,Honda,F-150,2014,49261,0.10523888451754437,5184.17,
2023-04-07,Jessica Castaneda,Alejandra Olson,Toyota,Altima,2014,15008,0.056183241,843.2,
2023-03-16,Jessica Castaneda,Audrey Gomez,Honda,Civic,2018,28160,0.092253837,2597.87,
2022-06-01,Jessica Castaneda,Tommy Gonzalez,Nissan,Silverado,2018,48410,0.085320319,4130.36,
2023-01-25,Jessica Castaneda,Robert Henry DDS,Nissan,Corolla,2017,27532,0.12032316207787636,3312.74,
2022-06-23,Jessica Castaneda,Anthony Fleming,Chevrolet,Corolla,2011,45287,0.085259211,3861.13,
2022-12-24,Jessica Castaneda,Christie Odonnell,Chevrolet,F-150,2022,13280,0.12288597679712084,1631.93,
2022-12-29,Jessica Castaneda,Travis Fox,Honda,F-150,2021,45660,0.10915862060551224,4984.18,
2023-01-28,Jessica Castaneda,Jason Yates,Chevrolet,Corolla,2010,35786,0.08954102,3204.31,
2023-03-27,Jessica Castaneda,George Sanchez,Ford,Altima,2021,33210,0.081960773,2721.92,
2023-01-27,Jessica Castaneda,Catherine Ortega,Nissan,Silverado,2011,35883,0.1419688142701584,5094.27,
2023-02-07,Jessica Castaneda,John Parker,Honda,Silverado,2015,44779,0.10669720951767753,4777.79,
2023-02-14,Jessica Castaneda,Laura Jones,Toyota,F-150,2022,13756,0.13867092442702267,1907.56,
2023-02-26,Jessica Castaneda,Christopher Mason,Ford,Altima,2015,36964,0.14739504586391938,5448.31,
2023-01-03,Jessica Castaneda,Kristine Hernandez,Ford,Civic,2014,39908,0.10898507274892891,4349.38,
2022-08-08,Jessica Castaneda,Brian Lamb,Nissan,Civic,2016,45824,0.10582311704172301,4849.24,
2022-06-17,Jessica Castaneda,Kendra Stein,Nissan,Altima,2015,31143,0.13203625272383185,4112.01,
2022-10-08,Jessica Castaneda,Ryan Medina,Nissan,Civic,2016,38278,0.056340279361091795,2156.59,
2022-08-17,Jessica Castaneda,Colleen Fischer,Chevrolet,Altima,2021,17832,0.051852876,924.64,
2022-08-12,Jessica Castaneda,Michael Hill,Nissan,Altima,2010,39916,0.052007774519202736,2075.94,
2023-04-27,Jessica Castaneda,Benjamin Meadows,Ford,Silverado,2011,32373,0.08936696,2893.08,
2023-04-19,Jessica Castaneda,Kelly Miller,Nissan,Civic,2015,16875,0.1349279856800767,2276.91,
2022-06-07,Jessica Castaneda,Krystal Glass,Honda,Corolla,2014,25555,0.093254882,2383.13,
2023-01-19,Jessica Castaneda,Mr. Shawn Johnson,Ford,Corolla,2018,10418,0.14848295648271648,1546.9,
2022-07-02,Lacey Cooper,Jennifer Brown,Toyota,Altima,2015,36019,0.098335927,3541.96,
2022-09-13,Lacey Cooper,Jeffrey Cooper,Toyota,Civic,2020,37788,0.11134605292335217,4207.54,
2023-04-03,Lacey Cooper,Michael Lewis,Chevrolet,Altima,2017,26262,0.12323201531206525,3236.32,
2023-01-20,Lacey Cooper,Matthew King,Chevrolet,F-150,2011,27052,0.13827327025780795,3740.57,
2022-11-14,Lacey Cooper,Amanda Combs,Ford,Civic,2012,29108,0.12297662818232843,3579.6,
2022-12-18,Lacey Cooper,William Wilkerson,Ford,Altima,2018,15427,0.080783407,1246.25,
2023-02-15,Lacey Cooper,Randall Yang,Toyota,Silverado,2014,37913,0.13741793765717325,5209.93,
2022-05-01,Lacey Cooper,Pamela Lynn,Chevrolet,Altima,2022,43674,0.099337365,4338.46,
2022-08-19,Lacey Cooper,Stephen Perez,Toyota,Silverado,2022,42409,0.1161025065228967,4923.79,
2022-08-09,Lacey Cooper,Daniel Carpenter,Toyota,Civic,2014,22149,0.063746566,1411.92,
2022-05-28,Lacey Cooper,Lisa Robinson,Chevrolet,Altima,2012,19875,0.10334933878140727,2054.07,
2022-05-02,Lacey Cooper,Pamela Sullivan,Ford,Altima,2018,48314,0.14680971823845218,7092.96,
2022-05-07,Lacey Cooper,Roberta Wall,Nissan,F-150,2016,11280,0.13288003351841926,1498.89,
2022-08-11,Lacey Cooper,Carl Maldonado,Ford,Corolla,2021,39594,0.099849612,3953.45,
2023-01-06,Lacey Cooper,Haley Sanders,Nissan,Altima,2019,13649,0.12333166269067768,1683.35,
2022-08-12,Lacey Cooper,Lisa Anderson,Toyota,F-150,2011,29628,0.11232629380252482,3328,
2023-04-24,Lacey Cooper,Jessica Martin,Nissan,Civic,2014,13931,0.11038427550300725,1537.76,
2022-08-16,Madison Brewer,Erica Jones,Honda,Corolla,2011,15883,0.10601783992217356,1683.88,
2022-11-21,Madison Brewer,Nicole Warren,Nissan,Corolla,2012,40501,0.098344782,3983.06,
2022-08-11,Madison Brewer,Mary Taylor,Chevrolet,Corolla,2015,23319,0.13315550948428365,3105.05,
2022-10-26,Madison Brewer,Monica Gray,Ford,Silverado,2014,44106,0.067442602,2974.62,
2023-02-27,Madison Brewer,Amanda Mitchell,Ford,Silverado,2022,32233,0.1166429694058468,3759.75,
2022-07-24,Madison Brewer,Tammy Brown,Chevrolet,F-150,2018,31163,0.060057204,1871.56,
2023-01-10,Madison Brewer,Samantha Hill,Chevrolet,Civic,2014,16606,0.11747539188496287,1950.8,
2022-06-09,Madison Brewer,Jesse Walker,Chevrolet,F-150,2014,15751,0.10211074230585673,1608.35,
2022-12-22,Madison Brewer,Krista Fletcher,Nissan,Altima,2014,40734,0.075037564,3056.58,
2023-01-16,Madison Brewer,Chris Hernandez,Chevrolet,Civic,2011,35487,0.10522694710065972,3734.19,
2022-05-16,Madison Brewer,Timothy Sims,Toyota,F-150,2018,44409,0.09709587,4311.93,
2022-11-19,Madison Brewer,Morgan Blair,Toyota,Altima,2012,28391,0.12247106767625296,3477.08,
2022-05-28,Madison Brewer,Ryan Barnes,Ford,Civic,2019,24673,0.10484439728211728,2586.83,
2022-06-09,Madison Brewer,Nathaniel Baker,Chevrolet,F-150,2011,14156,0.1314878073782197,1861.34,
2022-09-19,Madison Brewer,Kathleen Perry,Nissan,Corolla,2021,30422,0.092048086,2800.29,
2022-08-25,Madison Brewer,Cory Green,Chevrolet,F-150,2015,15892,0.10648502780212929,1692.26,
2022-12-31,Madison Brewer,Christina Holmes,Honda,Silverado,2021,12075,0.1464713172076563,1768.64,
2022-05-10,Madison Brewer,Brandon Kim,Chevrolet,Silverado,2016,19018,0.067879558,1290.93,
2023-01-24,Madison Brewer,John Santiago,Chevrolet,Altima,2013,22172,0.072195476,1600.72,
2023-02-03,Madison Brewer,Julia Mcclain,Chevrolet,Altima,2019,28152,0.064239202,1808.46,
2022-08-21,Madison Brewer,James Perkins,Ford,Silverado,2021,34050,0.12187899738514213,4149.98,
2022-10-16,Madison Brewer,Mr. Kyle Patrick MD,Honda,Civic,2022,31238,0.098555281,3078.67,
2022-07-25,Madison Brewer,Heather Heath,Chevrolet,Silverado,2018,34309,0.1103584,3786.29,
2023-02-14,Madison Brewer,Mary Perry,Chevrolet,Corolla,2019,45162,0.13370682165808478,6038.47,
2022-07-18,Madison Brewer,Nancy Martinez,Chevrolet,Altima,2020,30184,0.13699119341719007,4134.94,
2023-01-16,Madison Brewer,Jessica Berry,Ford,Civic,2015,49402,0.054838674,2709.14,
2022-09-26,Madison Brewer,Rebecca Boone,Ford,Altima,2012,11738,0.089704866,1052.96,
2022-12-29,Madison Brewer,Christopher Alexander,Ford,Civic,2013,25256,0.055620882,1404.76,
2022-11-13,Madison Brewer,Jennifer Hall,Chevrolet,Civic,2010,43050,0.11498618451713402,4950.16,
2022-05-14,Madison Brewer,Mrs. Jessica Wilson MD,Toyota,Silverado,2017,12013,0.085403389,1025.95,
2022-07-13,Madison Brewer,Candace Rowe,Toyota,F-150,2015,41509,0.061438864,2550.27,
2023-01-28,Madison Brewer,John Orozco,Honda,F-150,2022,47277,0.070577033,3336.67,
2023-03-22,Madison Brewer,Dillon Johnson,Honda,Silverado,2012,49929,0.093433692,4665.05,
2022-12-04,Madison Brewer,Carrie Boyd,Chevrolet,F-150,2013,49855,0.14455372139444356,7206.73,
2022-05-29,Madison Brewer,Rebecca Best,Ford,Altima,2017,36409,0.12234885229472708,4454.6,
2023-03-12,Madison Brewer,Carlos Phelps,Ford,Civic,2010,12103,0.053400817972087615,646.31,
2022-05-29,Madison Brewer,Eric Durham,Nissan,F-150,2020,22348,0.077804785,1738.78,
2022-10-24,Madison Brewer,Sarah Cochran,Chevrolet,Silverado,2018,26811,0.14013515930825682,3757.16,
2022-11-22,Madison Brewer,Ellen Brewer,Toyota,Altima,2010,44249,0.064748187,2865.04,
2023-04-16,Madison Brewer,Thomas Blankenship,Chevrolet,Altima,2014,31462,0.10395102112011992,3270.51,
2023-03-14,Madison Brewer,Joshua Brown,Honda,F-150,2012,23467,0.14547217843556443,3413.8,
2022-08-17,Madison Brewer,Jessica Hamilton,Nissan,Altima,2020,17715,0.11437496203563785,2026.15,
2022-06-08,Madison Brewer,Krista Walters,Chevrolet,F-150,2016,22274,0.11218264843800871,2498.76,
2022-08-19,Madison Brewer,Ashley Nelson,Toyota,Corolla,2012,46203,0.067851123,3134.93,
2023-03-31,Madison Brewer,Leslie Kim,Ford,Civic,2013,19851,0.077311844,1534.72,
2023-02-03,Madison Brewer,Julie Jones,Nissan,Altima,2014,33157,0.13333138319587418,4420.87,
2022-05-14,Madison Brewer,Ronald Sullivan,Toyota,Altima,2020,18818,0.055006177,1035.11,
2023-02-09,Madison Brewer,Andrew Malone,Ford,Silverado,2011,38748,0.10059504393001255,3897.86,
2022-12-16,Madison Brewer,Edgar Smith,Nissan,Corolla,2011,29018,0.1459687168071691,4235.72,
2022-09-02,Madison Brewer,Michael Moore,Chevrolet,Altima,2012,37275,0.063283803,2358.9,
2022-12-16,Madison Brewer,Katelyn Mercado,Nissan,F-150,2018,14023,0.11659810528107038,1635.06,
2023-03-04,Madison Brewer,Dominique Carlson,Ford,Civic,2020,37065,0.079866543,2960.25,
2023-02-18,Madison Brewer,Kristy Brown,Nissan,Altima,2011,16779,0.097095229,1629.16,
2022-09-28,Madison Brewer,Juan Davies,Ford,Corolla,2014,24128,0.084780882,2045.59,
2022-06-10,Madison Brewer,Joseph Davis,Chevrolet,F-150,2022,43427,0.10128925650441323,4398.69,
2022-06-04,Madison Brewer,Sharon Brooks,Ford,Civic,2019,10371,0.10499094249399775,1088.86,
2022-05-25,Madison Brewer,Andrea Diaz,Ford,Silverado,2014,37862,0.1477212150970303,5593.02,
2023-01-03,Madison Brewer,Veronica White,Ford,Altima,2014,24010,0.14208650795350108,3411.5,
2022-05-12,Michelle White,Jesse Wilson,Ford,Altima,2016,29570,0.1466141848221486,4335.38,
2022-07-17,Michelle White,Katherine Henry,Nissan,Silverado,2010,13970,0.083736968,1169.81,
2023-03-12,Michelle White,Francisco Schneider,Ford,Altima,2019,42766,0.095125585,4068.14,
2023-01-30,Michelle White,Anthony Gordon,Ford,F-150,2010,14816,0.069903865,1035.7,
2022-06-23,Michelle White,Kathy Shelton,Ford,F-150,2015,22516,0.074530461,1678.13,
2022-12-24,Michelle White,Nicole Vargas,Honda,F-150,2015,38133,0.099197702,3782.71,
2022-08-01,Michelle White,Mary Butler,Nissan,Altima,2018,15983,0.070495228,1126.73,
2022-12-26,Michelle White,Samuel Harris,Toyota,F-150,2017,32964,0.11442020782899189,3771.75,
2022-10-07,Michelle White,Audrey Perry,Toyota,Corolla,2022,26862,0.09513501,2555.52,
2022-09-05,Michelle White,Martin Wells,Toyota,Civic,2017,25635,0.14765951786810044,3785.25,
2022-06-25,Michelle White,Joseph Pierce,Ford,F-150,2014,17214,0.1048348137938406,1804.63,
2022-05-12,Michelle White,Patricia Serrano,Toyota,Silverado,2016,44286,0.092961589,4116.9,
2022-05-06,Michelle White,Tanner Collier,Chevrolet,Civic,2018,41520,0.068166132,2830.26,
2023-04-25,Michelle White,Sara Fletcher,Chevrolet,Corolla,2017,29602,0.078947128,2336.99,
2022-09-26,Michelle White,Mrs. Michele Edwards,Nissan,F-150,2010,41626,0.11869163774114358,4940.66,
2022-12-23,Michelle White,Kyle Collins,Honda,Altima,2018,21350,0.1033380492320122,2206.27,
2022-05-12,Michelle White,Courtney Wright,Honda,F-150,2012,35800,0.06054802,2167.62,
2022-12-03,Michelle White,Christopher Dominguez,Chevrolet,Civic,2015,24760,0.10099334593366266,2500.6,
2023-02-11,Michelle White,Travis Barnes,Toyota,Altima,2010,35908,0.064526477,2317.02,
2022-06-27,Michelle White,Lisa Harding,Ford,F-150,2015,25131,0.1360029490844441,3417.89,
2023-01-03,Michelle White,Jessica Becker,Ford,Civic,2011,20900,0.126024872,2633.92,
2022-10-08,Michelle White,Sharon Maxwell,Chevrolet,Altima,2020,13726,0.073201226,1004.76,
2022-09-15,Michelle White,Kevin Williams,Ford,Corolla,2010,32473,0.062606618,2033.02,
2022-05-28,Michelle White,Sara King,Honda,Silverado,2018,22897,0.078824478,1804.84,
2023-01-31,Michelle White,Kenneth Tyler,Nissan,Altima,2017,31156,0.10239377797633092,3190.18,
2022-12-24,Michelle White,Eric Edwards,Ford,F-150,2011,45422,0.14305118876692186,6497.67,
2023-03-07,Michelle White,Donald Diaz,Toyota,Silverado,2022,20930,0.062233074,1302.54,
2022-10-16,Michelle White,Leslie Shepherd,Ford,Civic,2020,12512,0.11158666351800814,1396.17,
2023-04-05,Michelle White,Mr. Jake Marquez,Ford,Altima,2019,26971,0.12202277541084434,3291.08,
2022-08-10,Michelle White,Richard Wolf,Ford,Civic,2012,31941,0.10285483802960502,3285.29,
2022-06-20,Michelle White,Michael Bond,Ford,Altima,2015,46233,0.071623758,3311.38,
2022-05-27,Michelle White,Allen Alvarado,Nissan,F-150,2020,24728,0.064195376,1587.42,
2023-02-04,Michelle White,Johnathan Ramos,Chevrolet,F-150,2020,48884,0.063095077,3084.34,
2023-01-01,Michelle White,Barbara Wong,Honda,Altima,2013,20067,0.1481519754495419,2972.97,
2022-05-26,Michelle White,Stacey Brown,Ford,F-150,2016,43773,0.12434816630102764,5443.09,
2022-11-01,Michelle White,Christie Hunter,Toyota,Altima,2015,48969,0.079225824,3879.61,
2022-09-06,Michelle White,Rickey Price,Toyota,Corolla,2019,33100,0.062604593,2072.21,
2023-03-09,Michelle White,Alison Walker,Ford,Altima,2014,28796,0.093451209,2691.02,
2022-07-21,Michelle White,Michael Michael,Toyota,F-150,2014,46329,0.053654741,2485.77,
2022-11-13,Michelle White,Nathan Diaz,Nissan,Corolla,2011,14507,0.085988837,1247.44,
2022-09-04,Michelle White,Johnny Scott,Ford,Altima,2013,41937,0.092190722,3866.2,
2023-01-14,Michelle White,Jeffrey Thompson,Chevrolet,Corolla,2020,12813,0.077213188,989.33,
2022-07-17,Michelle White,Corey West,Honda,Corolla,2018,28406,0.085246638,2421.52,
2022-11-01,Paul Taylor,Thomas Edwards,Ford,Silverado,2015,11599,0.10665773538710353,1237.12,
2022-06-07,Paul Taylor,Crystal Davis,Nissan,Silverado,2012,40470,0.13005301568173216,5263.25,
2022-10-25,Paul Taylor,Cynthia Cabrera,Chevrolet,Silverado,2018,21527,0.12815587227927822,2758.81,
2022-05-17,Paul Taylor,Sheena Lewis,Chevrolet,Silverado,2016,28204,0.092110884,2597.9,
2023-01-12,Paul Taylor,William Weber,Nissan,Altima,2020,45815,0.056991190892882564,2611.05,
2022-07-17,Paul Taylor,Michael Carlson,Ford,Civic,2013,31900,0.07614751,2429.11,
2022-05-20,Paul Taylor,Antonio Atkins IV,Ford,Silverado,2019,32745,0.13761017835238643,4506.05,
2022-08-10,Paul Taylor,Randall Thompson,Ford,F-150,2013,14744,0.085092622,1254.61,
2022-10-14,Paul Taylor,Cassandra Ayala,Toyota,Corolla,2014,17714,0.083874231,1485.75,
2023-03-09,Paul Taylor,Caitlin Hughes,Nissan,Civic,2011,43101,0.090237164,3889.31,
2022-08-19,Paul Taylor,Jennifer Ritter,Honda,Corolla,2016,47608,0.12312961550467912,5861.95,
2022-09-25,Paul Taylor,Scott Humphrey,Chevrolet,Silverado,2010,13906,0.095843234,1332.8,
2022-05-04,Paul Taylor,Larry Andrews,Toyota,Altima,2022,31836,0.12081660363959613,3846.32,
2022-06-22,Paul Taylor,John Bell,Chevrolet,Silverado,2017,25916,0.1312222928691519,3400.76,
2023-01-29,Paul Taylor,Justin Gray,Toyota,Silverado,2022,48224,0.090592146,4368.72,
2023-04-19,Paul Taylor,Cody Benton,Toyota,Civic,2018,26323,0.09552041,2514.38,
2022-08-02,Paul Taylor,Samuel Wolfe,Chevrolet,Altima,2018,43594,0.057084698,2488.55,
2022-09-09,Paul Taylor,Daniel Lin,Toyota,Civic,2018,46507,0.1459536647743312,6787.87,
2022-10-23,Paul Taylor,Brian Bates,Honda,Silverado,2017,27318,0.060005939,1639.24,
2023-04-29,Paul Taylor,Samantha Simmons,Toyota,Altima,2017,46890,0.10434780973964577,4892.87,
2022-12-26,Paul Taylor,Stephanie Garcia,Nissan,F-150,2016,48180,0.11347392319484312,5467.17,
2023-04-23,Paul Taylor,Kirk Lowe,Toyota,Altima,2017,29442,0.1498902045893905,4413.07,
2023-01-24,Paul Taylor,Jennifer Cohen,Chevrolet,F-150,2019,26875,0.11565469808226461,3108.22,
2022-06-16,Paul Taylor,Dana Mata,Ford,Corolla,2010,31026,0.071262414,2210.99,
2023-01-31,Paul Taylor,Julia Gardner,Toyota,F-150,2018,13871,0.1340439399599074,1859.32,
2022-10-20,Paul Taylor,Lauren Medina,Honda,Civic,2022,27981,0.10373016464761364,2902.47,
2022-09-23,Paul Taylor,Grant Lane,Honda,Altima,2013,30154,0.091494419,2758.92,
2023-02-16,Paul Taylor,George Kennedy,Toyota,Silverado,2019,28768,0.097124055,2794.06,
2022-08-12,Paul Taylor,Robin Mcintosh,Ford,Civic,2021,33221,0.087297164,2900.1,
2023-03-15,Paul Taylor,Richard Pierce,Nissan,F-150,2016,38474,0.13443883688865882,5172.4,
2022-05-01,Paul Taylor,Tina Zimmerman,Toyota,Altima,2010,11040,0.067260471,742.56,
2022-08-21,Paul Taylor,Timothy Ellis,Toyota,Corolla,2011,27133,0.073526554,1995,
2023-02-06,Paul Taylor,Gabriel Garcia,Chevrolet,Altima,2019,41842,0.14645391328118385,6127.92,
2023-03-22,Paul Taylor,Adam Richardson,Nissan,Altima,2019,25601,0.098465809,2520.82,
2022-09-25,Paul Taylor,Jose Arroyo,Nissan,Silverado,2022,22944,0.12491553318718084,2866.06,
2022-12-12,Paul Taylor,Kathleen Smith,Chevrolet,Civic,2017,31367,0.072717467,2280.93,
2022-08-31,Paul Taylor,Benjamin Boyle,Honda,Civic,2017,14344,0.14177572447312492,2033.63,
2022-12-31,Paul Taylor,Mary Wong,Toyota,Silverado,2018,17650,0.10574036319317684,1866.32,
2022-07-18,Paul Taylor,Diana Brown,Nissan,Altima,2017,32176,0.083234192,2678.14,
2022-11-28,Paul Taylor,Dana Hampton,Nissan,Corolla,2018,48099,0.12878371504545802,6194.37,
2022-10-12,Paul Taylor,Angela Dudley,Honda,Altima,2012,29868,0.14301544047593556,4271.59,
2023-04-15,Paul Taylor,Pamela Fisher,Ford,Altima,2010,31507,0.14186807764365383,4469.84,
2022-06-23,Paul Taylor,David Wagner,Chevrolet,F-150,2016,33502,0.1229233255755757,4118.18,
2022-12-09,Paul Taylor,Kelly Tran,Ford,Civic,2012,30782,0.054496153,1677.5,
2023-02-03,Paul Taylor,Patrick Thomas,Ford,Civic,2016,45257,0.092801954,4199.94,
2022-10-11,Paul Taylor,Julie Flowers,Ford,Civic,2010,17750,0.12456697803551782,2211.06,
2022-05-27,Scott Martin,Christine Bradford,Nissan,Civic,2012,25447,0.1353629938928774,3444.58,
2022-09-02,Scott Martin,Stephanie Smith,Ford,Corolla,2021,27337,0.099503651,2720.13,
2023-01-11,Scott Martin,Shane Wilson,Chevrolet,Corolla,2020,42351,0.059670817,2527.12,
2023-03-15,Scott Martin,Lydia Fleming,Ford,F-150,2022,32055,0.062044505,1988.84,
2022-10-24,Scott Martin,April Allen,Toyota,Silverado,2020,27854,0.10729292982403763,2988.54,
2022-12-23,Scott Martin,Joseph Tran,Toyota,Corolla,2010,46665,0.11008936037612518,5137.32,
2023-03-25,Scott Martin,Shane Underwood,Nissan,F-150,2021,46775,0.1283251217667496,6002.41,
2023-01-11,Scott Martin,Becky Castillo,Toyota,F-150,2020,45908,0.13521263932611674,6207.34,
2022-09-07,Scott Martin,Miranda Moore,Ford,F-150,2017,40988,0.079246562,3248.16,
2022-05-24,Scott Martin,Zachary Freeman,Toyota,Civic,2012,46092,0.079424325,3660.83,
2022-11-27,Scott Martin,Angela Martin,Honda,F-150,2011,29379,0.088440424,2598.29,
2022-12-30,Scott Martin,Kelly Beasley,Chevrolet,Altima,2013,15064,0.053381650735357215,804.14,
2022-11-05,Scott Martin,Joseph Livingston,Chevrolet,F-150,2014,42602,0.092817109,3954.19,
2023-02-19,Scott Martin,Jeremy Jones,Nissan,Civic,2018,16314,0.14934352627331066,2436.39,
2023-04-18,Scott Martin,Tina Simpson,Nissan,Civic,2013,14671,0.13717757157676996,2012.53,
